user_type,purchase_frequency,avg_order_value,product_category,product_price,rating,discount_percentage,purchase
returning,7,116.8,Clothing,180.01,3.1,30,1
returning,9,60.99,Electronics,802.52,3.3,10,1
loyal,14,145.37,Home & Kitchen,235.46,2.9,40,1
returning,5,96.56,Home & Kitchen,200.75,3.6,0,1
new,3,63.62,Books,32.73,4.1,40,0
returning,5,104.02,Books,26.92,1.3,5,0
loyal,10,230.31,Books,57.85,1.6,0,1
returning,5,116.37,Clothing,281.82,2.7,10,0
loyal,14,134.41,Home & Kitchen,286.28,2.9,20,1
returning,4,60.62,Home & Kitchen,222.68,4.3,10,1
returning,8,84.01,Clothing,145.18,4.6,50,1
returning,3,80.63,Home & Kitchen,494.69,2.9,15,1
new,1,47.82,Sports,140.25,2.1,20,0
new,1,63.23,Electronics,592.1,3.5,5,0
new,1,48.11,Sports,240.06,3.7,40,0
returning,3,42.65,Electronics,174.5,1.8,10,0
returning,3,96.44,Clothing,128.2,2.4,10,1
returning,7,48.07,Clothing,87.47,3.8,25,1
loyal,10,211.95,Home & Kitchen,291.28,4.6,5,1
new,3,64.14,Electronics,391.12,2.9,0,0
returning,5,146.22,Beauty,98.22,1.2,50,1
loyal,19,274.72,Beauty,107.84,2.4,5,1
new,2,31.39,Books,21.5,4.7,0,0
new,3,45.8,Home & Kitchen,380.6,4.6,15,0
new,3,33.44,Sports,63.03,2.5,0,0
new,2,31.36,Beauty,40.93,1.6,0,0
loyal,8,104.78,Home & Kitchen,33.47,3.6,0,1
loyal,14,258.79,Books,10.62,2.3,15,1
returning,5,106.69,Home & Kitchen,158.23,2.3,0,0
loyal,14,276.78,Home & Kitchen,74.48,3.6,0,1
loyal,9,95.54,Clothing,139.69,3.9,10,1
new,1,49.72,Home & Kitchen,143.65,2.7,20,0
loyal,16,238.5,Electronics,669.5,2.8,5,1
returning,8,145.53,Clothing,200.62,4.5,10,1
loyal,12,196.91,Books,57.62,2.5,25,1
loyal,12,189.24,Sports,383.05,2.2,20,1
returning,7,53.7,Sports,293.45,3.8,5,1
new,1,34.65,Home & Kitchen,337.71,3.3,50,0
new,3,66.37,Home & Kitchen,250.19,1.5,0,0
returning,3,40.64,Electronics,841.22,4.8,20,1
loyal,14,253.05,Books,52.23,3.9,25,1
loyal,10,265.21,Electronics,1134.49,4.6,0,1
new,3,38.14,Clothing,238.04,2.2,15,0
returning,9,83.08,Books,49.11,3.4,25,1
returning,5,78.42,Clothing,79.29,2.0,30,0
new,1,75.44,Electronics,1060.9,3.2,10,0
new,2,39.07,Beauty,153.72,4.5,15,0
returning,8,45.56,Clothing,111.05,4.6,25,1
loyal,18,111.09,Electronics,243.46,5.0,10,1
returning,9,141.04,Electronics,334.86,4.9,15,1
returning,3,58.32,Clothing,49.15,3.1,20,1
returning,5,80.28,Electronics,537.32,2.2,25,0
returning,6,111.62,Beauty,198.49,4.7,0,0
loyal,12,126.78,Clothing,67.48,2.0,30,1
loyal,18,209.72,Beauty,105.1,2.5,10,1
new,1,72.22,Electronics,130.07,5.0,5,0
returning,7,143.33,Home & Kitchen,442.34,2.0,40,1
returning,5,148.06,Books,51.28,3.5,0,0
new,2,65.56,Books,5.95,1.7,20,0
new,1,41.51,Home & Kitchen,158.71,1.8,25,0
returning,8,118.53,Sports,209.93,1.4,5,0
returning,4,83.92,Clothing,132.36,1.2,10,0
new,1,31.21,Home & Kitchen,333.07,4.2,10,0
new,1,78.55,Beauty,73.17,4.4,30,0
loyal,10,107.0,Electronics,177.58,1.2,10,1
new,1,41.59,Electronics,967.65,4.0,40,0
new,1,51.63,Clothing,230.14,1.7,0,0
returning,6,58.5,Home & Kitchen,202.69,2.4,25,1
loyal,15,219.12,Clothing,46.75,1.4,5,1
new,3,34.45,Electronics,428.76,2.0,10,0
returning,3,88.85,Home & Kitchen,406.66,3.1,10,1
loyal,8,116.81,Home & Kitchen,302.26,4.8,40,1
new,1,68.37,Clothing,93.23,3.0,0,0
returning,6,84.67,Clothing,30.55,4.6,25,1
returning,9,107.85,Home & Kitchen,436.2,1.2,0,0
returning,4,70.76,Sports,123.07,2.9,20,0
returning,5,68.51,Books,28.3,1.3,5,0
returning,5,134.5,Beauty,82.88,2.2,15,0
new,3,22.58,Clothing,181.5,1.2,15,0
loyal,17,88.6,Clothing,133.7,2.5,50,1
returning,4,89.95,Home & Kitchen,429.08,2.7,0,0
new,3,74.53,Beauty,74.94,2.4,5,0
new,2,67.58,Home & Kitchen,361.07,3.5,0,0
returning,9,87.58,Beauty,27.7,3.1,15,1
returning,6,88.59,Sports,93.01,1.9,15,0
new,2,33.67,Electronics,725.67,1.9,25,0
returning,3,117.26,Electronics,192.67,2.9,25,1
new,3,45.2,Electronics,505.11,2.0,20,0
returning,8,115.23,Clothing,272.41,3.3,15,0
new,2,55.84,Electronics,386.25,4.9,25,0
returning,6,65.43,Beauty,80.39,1.1,0,0
returning,9,54.85,Electronics,432.16,2.5,0,1
loyal,16,233.68,Clothing,130.99,4.1,15,1
new,3,54.62,Electronics,1096.54,2.1,5,0
returning,4,82.17,Sports,69.95,2.9,5,0
new,3,72.71,Books,9.06,1.9,15,0
loyal,10,140.0,Sports,49.15,3.8,0,1
loyal,17,205.04,Sports,394.13,1.5,5,1
new,3,50.48,Home & Kitchen,391.58,4.1,0,0
returning,9,86.49,Clothing,215.12,3.0,0,1
loyal,19,251.78,Electronics,919.05,1.8,30,1
returning,9,42.31,Clothing,50.96,3.1,40,1
returning,9,51.29,Books,22.75,4.8,0,1
new,2,46.22,Electronics,511.26,4.4,10,0
new,1,39.42,Electronics,600.4,4.9,30,0
loyal,18,269.38,Home & Kitchen,51.87,2.3,0,1
loyal,14,275.98,Home & Kitchen,170.47,4.9,5,1
returning,9,110.9,Books,22.51,2.6,20,1
returning,7,66.04,Clothing,242.26,3.1,15,0
returning,6,124.06,Beauty,70.22,3.6,0,1
returning,9,50.03,Home & Kitchen,307.14,4.8,10,1
loyal,17,143.32,Electronics,613.52,4.3,15,1
loyal,12,113.76,Beauty,114.79,4.0,5,1
loyal,8,141.22,Sports,32.89,2.2,30,1
returning,8,44.24,Electronics,949.65,3.2,30,1
new,2,50.57,Clothing,91.56,4.0,20,0
new,1,73.04,Home & Kitchen,263.94,3.3,25,0
loyal,19,93.72,Electronics,1054.83,1.8,25,1
returning,8,139.69,Beauty,11.65,3.3,10,1
new,2,45.77,Clothing,129.85,3.5,30,0
new,3,66.68,Beauty,175.38,3.1,30,0
returning,9,124.89,Books,47.13,3.7,25,1
new,1,27.67,Home & Kitchen,269.11,2.9,5,0
new,2,71.79,Electronics,203.58,3.8,15,0
returning,7,107.43,Clothing,94.48,2.7,10,1
returning,5,131.26,Electronics,582.28,2.6,10,0
returning,5,85.1,Clothing,82.35,3.5,10,0
new,1,67.31,Clothing,21.23,4.4,30,0
returning,8,57.7,Beauty,198.32,4.2,15,1
new,3,22.58,Clothing,149.02,3.7,40,0
returning,5,45.2,Beauty,82.59,4.0,40,1
returning,6,44.61,Clothing,197.64,2.3,10,1
returning,4,97.88,Beauty,127.59,3.4,10,1
loyal,15,95.28,Sports,47.71,2.3,25,1
returning,6,126.44,Clothing,83.61,4.1,30,1
returning,4,40.34,Beauty,67.31,1.7,30,0
new,1,63.32,Home & Kitchen,284.55,1.1,5,0
returning,7,81.16,Beauty,191.68,3.9,0,0
new,2,52.0,Books,40.89,1.2,30,0
new,2,28.79,Clothing,278.97,2.5,25,0
loyal,17,102.65,Clothing,294.88,3.5,0,1
returning,9,135.69,Electronics,156.42,5.0,0,1
loyal,10,271.16,Home & Kitchen,272.19,2.9,5,1
returning,3,77.18,Sports,150.68,3.9,30,1
loyal,14,177.17,Books,22.1,4.4,10,1
returning,5,134.18,Clothing,92.13,4.2,0,1
returning,5,127.47,Beauty,58.71,4.5,40,1
returning,3,100.35,Beauty,109.37,3.2,40,1
new,3,27.99,Clothing,296.57,5.0,0,0
returning,7,100.94,Electronics,625.16,4.6,15,1
new,2,69.91,Electronics,821.01,2.3,10,0
new,1,57.96,Beauty,110.66,2.9,5,0
returning,5,69.46,Beauty,179.77,2.6,10,1
new,3,70.74,Clothing,76.42,3.6,5,0
loyal,8,82.77,Clothing,44.3,3.5,0,1
loyal,10,232.72,Beauty,93.8,1.5,40,1
loyal,15,181.38,Sports,242.95,3.8,25,1
returning,6,54.37,Beauty,39.52,1.7,20,1
new,1,68.8,Home & Kitchen,321.2,2.7,10,0
loyal,11,246.71,Clothing,88.15,1.9,0,1
returning,3,104.56,Home & Kitchen,63.47,4.3,15,1
loyal,16,116.08,Clothing,276.12,4.0,15,1
loyal,12,168.52,Beauty,18.09,4.3,10,1
loyal,12,150.33,Clothing,29.12,3.1,0,1
new,2,30.91,Beauty,197.12,1.7,15,0
returning,4,51.89,Clothing,114.8,3.0,20,1
loyal,17,207.39,Beauty,117.91,4.5,0,1
returning,8,75.08,Clothing,69.41,4.5,0,1
new,2,26.9,Clothing,138.1,1.7,15,0
returning,4,142.43,Home & Kitchen,55.58,3.4,15,1
loyal,9,244.78,Electronics,109.72,3.6,20,1
returning,8,117.95,Sports,399.83,3.6,5,1
returning,3,50.66,Home & Kitchen,118.25,1.3,25,0
new,1,21.93,Home & Kitchen,205.57,1.5,20,0
returning,5,55.21,Beauty,122.68,2.6,0,0
loyal,19,265.56,Beauty,108.37,4.6,30,1
new,1,61.01,Home & Kitchen,193.32,2.0,20,0
returning,3,127.05,Sports,32.62,2.0,0,0
loyal,15,223.51,Electronics,642.93,2.7,20,1
returning,8,119.48,Electronics,1138.16,3.8,50,1
returning,8,75.53,Home & Kitchen,375.09,2.6,30,1
returning,3,101.35,Clothing,219.32,4.7,5,1
returning,5,96.13,Home & Kitchen,474.32,4.7,5,1
new,1,27.67,Clothing,69.77,4.8,5,0
loyal,19,247.04,Clothing,292.31,2.3,0,1
loyal,8,221.39,Beauty,196.69,2.8,15,1
loyal,17,207.98,Home & Kitchen,256.95,3.9,25,1
loyal,16,188.9,Sports,316.39,4.8,0,1
returning,5,149.1,Beauty,14.3,3.5,0,1
returning,6,46.91,Clothing,291.37,3.0,5,0
loyal,9,294.03,Clothing,143.79,3.3,25,1
returning,3,54.48,Clothing,297.19,1.8,5,0
returning,6,65.91,Beauty,91.94,4.7,20,1
loyal,16,264.03,Electronics,817.47,3.6,0,1
loyal,9,260.94,Clothing,48.61,1.8,0,1
returning,6,50.78,Sports,83.02,2.8,25,1
returning,8,103.91,Home & Kitchen,234.92,1.9,20,0
new,2,30.43,Clothing,123.65,3.9,0,0
returning,7,141.18,Clothing,49.97,4.1,0,1
new,3,52.59,Beauty,17.26,4.4,10,0
returning,4,138.14,Beauty,154.67,4.5,0,1
returning,3,135.82,Clothing,65.04,2.4,0,0
new,3,33.0,Clothing,263.34,4.6,0,0
returning,3,115.62,Beauty,88.5,2.7,0,0
new,1,75.56,Beauty,92.13,4.7,25,0
new,3,26.82,Beauty,66.84,3.6,25,0
loyal,18,119.46,Home & Kitchen,140.18,4.2,20,1
returning,4,50.19,Sports,158.2,4.6,10,0
new,2,51.52,Clothing,245.47,1.4,5,0
returning,4,68.29,Electronics,844.01,2.6,0,0
loyal,13,87.61,Books,55.93,4.8,10,1
new,1,33.25,Home & Kitchen,257.05,3.0,0,0
returning,5,119.54,Beauty,163.19,4.1,15,1
new,2,37.01,Electronics,303.44,4.7,0,0
new,2,42.58,Beauty,22.47,4.1,20,0
returning,6,47.59,Clothing,88.24,2.2,0,0
returning,4,104.58,Books,50.92,3.4,0,0
returning,9,93.62,Electronics,1163.29,1.6,40,1
returning,3,73.24,Home & Kitchen,359.48,2.2,10,0
loyal,12,102.84,Books,27.62,1.4,20,1
returning,6,128.03,Clothing,247.94,3.7,0,1
returning,8,101.75,Clothing,198.41,1.8,0,0
loyal,10,131.15,Home & Kitchen,63.53,1.6,0,1
new,2,58.18,Beauty,187.42,4.2,0,0
returning,9,61.61,Clothing,54.87,3.0,0,0
new,1,62.08,Clothing,145.06,3.9,10,0
new,3,22.45,Clothing,296.36,2.9,5,0
loyal,8,235.44,Sports,140.16,2.5,20,1
loyal,18,198.94,Clothing,55.13,3.4,15,1
returning,7,111.49,Electronics,861.82,4.6,20,1
returning,8,104.15,Beauty,76.73,3.9,0,1
new,1,68.07,Books,35.54,3.1,0,0
new,3,79.27,Electronics,1065.35,1.8,15,0
new,3,52.07,Sports,87.04,1.8,10,0
returning,7,64.19,Home & Kitchen,262.46,4.7,20,1
returning,8,97.79,Home & Kitchen,76.81,2.3,15,1
returning,9,137.65,Clothing,168.53,4.4,15,1
new,3,58.58,Beauty,171.37,4.6,10,0
loyal,14,100.51,Clothing,210.68,3.6,30,1
returning,6,71.22,Clothing,69.35,2.6,5,0
returning,7,91.84,Electronics,826.72,3.2,0,0
returning,4,83.08,Beauty,97.83,1.2,40,1
returning,3,97.95,Home & Kitchen,195.59,1.0,0,0
new,3,42.28,Home & Kitchen,111.46,2.3,30,0
returning,5,90.25,Clothing,98.48,3.8,0,1
loyal,8,181.36,Books,7.04,3.6,15,1
new,1,62.64,Beauty,179.86,2.1,20,0
new,1,51.58,Clothing,104.01,4.7,0,0
new,2,42.21,Beauty,180.87,2.4,30,0
new,1,57.04,Clothing,283.85,2.9,0,0
loyal,15,120.47,Beauty,143.17,2.7,20,1
returning,6,116.01,Electronics,741.59,1.3,0,0
returning,4,144.88,Home & Kitchen,436.26,3.9,5,1
new,2,42.01,Sports,54.21,4.6,0,0
returning,7,78.13,Sports,256.26,2.0,0,1
returning,9,148.29,Clothing,278.43,2.5,10,1
new,1,54.28,Clothing,270.33,2.0,5,0
returning,4,145.07,Electronics,942.76,3.6,10,1
returning,8,63.26,Beauty,56.23,4.8,40,1
returning,5,89.75,Home & Kitchen,341.61,2.1,10,1
returning,8,68.37,Clothing,270.32,3.1,5,1
new,1,59.87,Electronics,480.85,4.7,0,0
returning,9,110.41,Sports,266.07,1.1,25,1
returning,6,114.75,Home & Kitchen,218.29,3.1,10,1
returning,9,106.45,Clothing,272.43,3.7,15,1
loyal,15,104.45,Clothing,82.48,4.7,20,1
returning,3,96.04,Clothing,95.13,4.4,5,1
new,1,75.03,Home & Kitchen,346.85,3.8,10,0
new,1,48.26,Sports,31.18,4.7,25,0
returning,9,127.87,Beauty,63.13,1.4,10,0
new,3,32.74,Home & Kitchen,158.47,4.1,0,0
returning,5,76.3,Beauty,143.05,3.7,5,1
loyal,15,181.55,Clothing,159.55,4.2,0,1
returning,9,100.88,Clothing,32.4,2.0,20,1
returning,4,139.41,Sports,185.84,4.4,20,1
returning,6,138.98,Clothing,297.52,4.4,15,1
returning,9,130.34,Clothing,269.71,1.0,15,1
returning,4,148.2,Sports,330.99,2.2,10,0
loyal,18,259.14,Electronics,773.93,2.2,15,1
returning,8,121.3,Beauty,34.09,3.4,10,1
loyal,12,274.68,Sports,362.17,4.5,10,1
loyal,15,124.35,Home & Kitchen,192.7,1.1,0,1
new,1,23.46,Electronics,270.68,1.9,0,0
new,3,61.07,Clothing,54.26,3.0,15,0
new,1,50.55,Electronics,1028.96,5.0,0,0
new,1,37.24,Clothing,195.89,1.3,10,0
new,1,46.43,Beauty,30.43,4.3,0,0
returning,6,80.85,Clothing,256.8,2.5,5,0
new,2,21.45,Clothing,87.79,4.1,5,0
returning,3,87.03,Home & Kitchen,307.18,2.7,0,0
loyal,10,117.16,Home & Kitchen,481.01,2.1,15,1
new,2,46.45,Beauty,160.14,2.7,0,0
loyal,15,214.4,Clothing,206.75,2.7,5,1
new,2,74.05,Beauty,156.26,4.3,0,0
new,3,34.74,Home & Kitchen,278.56,4.1,20,0
returning,5,116.07,Clothing,131.08,1.3,15,1
returning,3,147.05,Clothing,19.97,4.2,20,1
loyal,10,179.64,Clothing,15.04,1.7,0,1
returning,5,99.81,Home & Kitchen,464.71,1.0,20,0
loyal,19,170.72,Clothing,44.09,1.8,25,1
new,1,56.07,Sports,249.17,1.4,15,0
new,3,65.57,Home & Kitchen,292.28,2.2,40,0
loyal,8,119.69,Sports,250.23,4.7,5,1
loyal,16,93.45,Electronics,645.89,3.1,0,1
loyal,17,123.33,Clothing,284.72,1.4,10,1
returning,4,86.77,Electronics,471.82,4.1,15,1
returning,6,67.09,Clothing,102.63,3.3,0,1
loyal,14,143.08,Beauty,79.12,1.2,15,1
returning,4,146.4,Electronics,310.92,3.1,25,1
loyal,18,226.08,Clothing,220.99,3.8,0,1
loyal,12,155.19,Electronics,467.94,1.8,10,1
returning,5,92.57,Clothing,32.68,4.9,20,1
loyal,11,256.23,Beauty,32.2,4.0,15,1
loyal,19,158.72,Home & Kitchen,389.35,1.5,10,1
new,2,79.38,Books,10.31,2.7,0,0
loyal,12,243.88,Clothing,75.55,2.8,10,1
returning,3,80.24,Sports,165.77,3.2,15,1
loyal,17,291.28,Books,48.65,1.3,20,1
returning,3,95.77,Clothing,36.59,1.6,10,0
loyal,12,89.11,Clothing,70.53,4.4,10,1
returning,3,133.53,Sports,99.62,2.1,30,1
new,2,33.32,Home & Kitchen,243.31,4.9,0,0
loyal,11,292.56,Books,27.15,1.7,5,1
new,2,41.54,Clothing,244.57,1.3,20,0
returning,4,133.05,Clothing,93.82,1.0,5,0
loyal,15,123.08,Books,11.93,3.8,15,1
loyal,13,184.12,Home & Kitchen,134.37,3.8,20,1
returning,6,48.49,Home & Kitchen,171.08,1.0,0,0
returning,6,132.24,Home & Kitchen,302.14,3.3,30,1
returning,9,98.72,Clothing,125.17,4.7,25,1
new,3,29.91,Beauty,52.05,1.7,20,0
returning,6,87.43,Sports,65.8,2.2,5,0
returning,5,73.39,Beauty,121.63,1.0,30,1
loyal,11,231.77,Clothing,282.21,4.9,20,1
loyal,9,254.19,Clothing,74.27,1.8,0,1
loyal,8,160.82,Beauty,33.9,1.2,10,1
new,1,31.43,Home & Kitchen,455.67,2.7,5,0
returning,4,119.78,Home & Kitchen,305.83,1.2,15,0
new,3,67.46,Sports,160.34,1.8,0,0
returning,6,98.31,Home & Kitchen,48.64,2.3,25,0
returning,4,121.81,Home & Kitchen,383.67,2.7,20,0
loyal,19,137.01,Electronics,884.19,2.6,0,1
returning,3,105.29,Electronics,1085.16,2.3,0,0
new,3,74.45,Electronics,716.39,2.5,10,0
new,2,48.84,Sports,144.29,4.0,15,0
loyal,14,89.71,Clothing,62.88,4.9,30,1
returning,6,131.98,Home & Kitchen,126.06,1.7,5,0
new,3,50.26,Beauty,107.41,3.9,40,0
new,1,74.02,Home & Kitchen,426.81,3.9,20,0
returning,8,142.21,Home & Kitchen,452.78,3.7,15,1
new,3,77.04,Clothing,153.25,2.9,5,0
loyal,18,281.57,Beauty,17.44,1.0,25,1
returning,9,142.8,Electronics,212.38,2.0,20,0
new,2,60.7,Electronics,1144.32,1.3,25,0
new,2,21.36,Electronics,336.68,3.5,0,0
loyal,17,124.78,Clothing,248.41,4.1,0,1
returning,3,59.46,Clothing,279.76,2.4,10,0
returning,5,53.51,Books,56.59,2.6,5,0
loyal,16,152.49,Clothing,43.58,2.3,10,1
loyal,15,172.38,Books,14.26,3.4,10,1
loyal,16,139.94,Electronics,595.94,1.7,0,1
loyal,12,151.54,Electronics,437.52,5.0,25,1
returning,5,72.22,Home & Kitchen,195.38,1.9,15,0
new,3,42.05,Sports,221.32,2.3,0,0
loyal,10,188.89,Beauty,187.7,3.7,0,1
returning,3,131.11,Sports,208.17,3.2,25,1
returning,6,95.62,Books,28.97,3.5,0,1
loyal,13,237.44,Books,41.12,5.0,20,1
new,2,61.39,Home & Kitchen,87.27,1.9,0,0
returning,9,139.81,Home & Kitchen,250.85,2.3,20,1
new,2,79.81,Electronics,890.01,2.3,0,0
returning,4,69.8,Home & Kitchen,304.58,4.3,5,1
new,1,27.49,Clothing,229.29,2.7,40,0
new,2,47.44,Clothing,267.45,3.3,0,0
new,1,24.76,Home & Kitchen,230.99,1.2,20,0
returning,6,108.79,Electronics,888.5,4.2,5,1
returning,4,144.3,Clothing,130.82,2.1,30,1
returning,5,114.04,Electronics,1053.32,2.1,10,0
loyal,14,92.37,Sports,188.24,2.9,0,1
returning,7,135.58,Electronics,839.39,1.0,0,0
new,3,76.53,Clothing,17.1,1.4,15,0
loyal,10,222.03,Beauty,85.68,4.2,10,1
new,1,44.33,Home & Kitchen,284.31,4.8,50,0
loyal,8,83.65,Electronics,798.08,4.0,50,1
new,3,61.96,Clothing,65.43,1.0,20,0
loyal,14,220.02,Electronics,791.57,3.0,0,1
new,2,64.94,Clothing,228.17,4.0,25,0
loyal,13,229.53,Electronics,393.7,3.3,15,1
returning,6,69.67,Clothing,115.7,4.4,0,1
loyal,10,292.0,Beauty,182.93,1.8,5,1
new,3,41.33,Home & Kitchen,126.76,4.8,10,0
returning,8,43.13,Home & Kitchen,196.31,4.4,0,1
loyal,13,86.65,Clothing,220.57,4.7,0,1
returning,6,122.94,Clothing,70.52,1.5,0,0
returning,8,114.12,Beauty,106.04,3.1,0,1
returning,7,131.83,Electronics,915.5,2.2,0,1
returning,8,112.41,Beauty,22.3,3.4,0,1
returning,3,106.84,Home & Kitchen,136.5,3.5,0,0
returning,3,118.77,Beauty,118.63,2.1,10,0
loyal,15,156.72,Clothing,88.53,3.3,30,1
new,3,71.56,Clothing,247.44,4.5,20,0
new,3,27.19,Beauty,137.53,4.6,0,0
loyal,8,289.39,Beauty,109.83,3.5,30,1
loyal,15,180.69,Clothing,56.39,3.4,0,1
returning,4,40.31,Sports,278.5,3.6,40,1
returning,8,94.09,Electronics,266.62,3.1,0,1
new,1,31.17,Electronics,1130.33,3.0,40,0
new,1,28.12,Home & Kitchen,55.56,2.5,25,0
returning,9,145.43,Books,27.18,2.6,40,1
returning,3,109.3,Sports,131.41,1.7,15,0
returning,7,95.7,Clothing,205.5,1.2,25,0
new,3,25.83,Electronics,830.8,3.5,0,0
loyal,16,134.97,Home & Kitchen,381.17,2.6,5,1
loyal,13,96.01,Clothing,237.31,3.0,20,1
returning,3,121.76,Clothing,79.96,3.5,20,1
returning,6,43.18,Home & Kitchen,327.25,3.2,0,1
returning,6,127.57,Electronics,331.06,2.7,20,0
loyal,11,176.12,Home & Kitchen,293.44,4.0,0,1
returning,6,146.87,Clothing,151.06,1.8,0,0
new,1,36.06,Books,48.44,1.3,0,0
loyal,15,195.02,Home & Kitchen,174.65,4.0,50,1
loyal,14,207.24,Electronics,120.92,1.6,15,1
loyal,12,244.46,Clothing,120.28,4.9,50,1
returning,6,137.1,Clothing,255.16,2.2,25,1
returning,4,109.96,Electronics,581.79,3.2,25,1
returning,5,99.54,Books,50.0,3.1,15,1
loyal,10,184.33,Sports,119.36,2.7,10,1
loyal,19,220.91,Books,18.49,3.4,30,1
new,3,37.03,Home & Kitchen,147.31,4.5,20,0
new,1,27.7,Clothing,225.58,3.6,20,0
returning,3,83.99,Clothing,170.45,1.2,25,0
loyal,8,218.91,Sports,291.1,2.8,0,1
loyal,9,141.38,Sports,166.61,1.1,30,1
new,1,53.82,Home & Kitchen,234.88,4.5,20,0
returning,6,129.96,Clothing,150.26,4.4,0,0
returning,4,112.98,Beauty,104.23,2.9,10,1
loyal,12,83.71,Electronics,405.5,4.9,0,1
loyal,10,97.97,Beauty,139.51,3.9,10,1
loyal,9,102.04,Beauty,112.53,2.2,10,1
